ID,Target
ID_AlJBCPkP, nu ka nye le ene 
ID_AlrHLTfL," nye be nye le eƒe nye me le me la, be eƒe eƒe gb"
ID_AmKgUbaN," le na la, ame siwo be ame aɖe si le la amewo w"
ID_AmrnwoNR, nye me le eƒe eƒe me 
ID_AnwOXsZO, 
ID_AnxgSbqy, nu si le eƒe agbe me 
ID_AozDHcfs," Esi esi me la, yeƒe la mele abe ene o gake ene"
ID_ApEClNdS," esi le esi me la, be ene be ame ame siwo va yi l"
ID_AqMPGfos," esi ne be ene la, be ene wo menye o eye be ame "
ID_AqMgZROJ, nye kple nye me o la hã 
ID_AremVasw, eye be ame siwo katã wɔ dɔ wɔm o 
ID_AstteMjz," la wɔ dɔ le esi be ame aɖe mele me ne o la, ame o "
ID_AsyVQMam, enye be ame siwo le eƒe eƒe gbe me be la ame o 
ID_AtAkmCoe," le eƒe gbe me la, ame siwo ne le ame sia ame a"
ID_AtxanfKe, na nye la o be la ne la amewo wɔ dɔ le esi ŋu 
ID_AvNICFTe, ke esi menɔ la mele dzi be nye be eƒe me ne ame o 
ID_AvPytpWK, ke hã nye me be wo me 
ID_AwncfwJm, to vovo na o eye be ame ame siwo ne la wɔ dɔ le
ID_AxfJSNgr, nye be nye le esi nye me be nye le esi nye me be
ID_AxiXhOXF, ame siwo katã le wo la wɔ nu le eƒe agbe me ne
ID_AyVkaSTk, nye kple le eƒe eƒe gbe me dɔ o 
ID_AyblvLdR," enye be be ene la, ame be eƒe eƒe gbe la le eƒe"
ID_AyfLqiHL, na be ame siwo wole la kpɔ be wo be wo le eƒe m
ID_AzSpGpAb, nu sia ame si ame aɖe me 
ID_BAQLeebl, ƒe nya la 
ID_BDcpLnXg, nye kple le eƒe eƒe me be nye gbe la le eƒe gb
ID_BEEPQxbm, nye le eƒe eƒe nye me be eƒe gbe la le eƒe gbe m
ID_BEFtofXv, nye kple nye me le eƒe me hafi 
ID_BEsnmEso, enye be eƒe gbe kple le eƒe eƒe gbe me be eƒe gb
ID_BEwMmeao," ne ne la la, be ame ene o la, ekem ekem ƒe nya l"
ID_BFLPJHIm, nye be nye me le eƒe me be ame eƒe me o dɔ 
ID_BGbenoGo," na sia me la, ame eve siwo nɔ le esi wole la be a"
ID_BLJnQlYn, le esia nye me be ame aɖe si le la ne nye la le
ID_BLmfCjHj, ele be ame eve sia me ɖe 
ID_BMnQYJFb, eye nye kple o hã 
ID_BMweNpgN, nye 
ID_BOomjThe," eyae le esi esia me wole la le eƒe me la, eƒe gb"
ID_BPdFRDjF," Esi la, eƒe eƒe agbe me "
ID_BPjwfKtm," le la, eƒe be le eƒe eƒe gbe la le eƒe gbe me be"
ID_BQKGlaBW," ke ne ame aɖeke mele o la, be ame o elabe ame a"
ID_BQOEdvzp, ele dɔ wɔm be le eƒe me la ame wo 
ID_BQQcNcDy, eye ame siwo katã hã va yi eme la 
ID_BQoQnGFU," ele be le eƒe gbe megbe la, be woakpɔ gome le es"
ID_BQyITGRe, nye me o 
ID_BSDgqJfh, be ame siwo katã wɔ dɔ wɔm le o la be wo o gake
ID_BSWiqVex, la gblɔ be ame sia ame aɖeke o 
ID_BTGSJtuQ," ele be nye me la, be nye me be eƒe gbe la eƒe be"
ID_BUPrUtWv, na wo be la amewo wɔ dɔ le esi ŋu wole dɔ o 
ID_BWVJdkVP, na ame eve siwo nɔ nye me o 
ID_BXWTfaYc, ele be ame aɖe si le le me be nye me hã wole l
ID_BaGawlfc, nye nye le nye me be nye le eƒe me be nye kple le
ID_BaZEyWbF, nye me le eƒe me le eƒe me la ne 
ID_BbAVYJWg," le na la, ame siwo le la wole abe ene la le eƒ"
ID_BcWSrego," ke hã la, be ame siwo wole ƒe nya la le eƒe eƒe"
ID_BcqBFMdy, ke hã nye me o esia 
ID_BdUaDAhq," menye o elabe be ame ame aɖeke ne o la, ekem ame a"
ID_BgfYeSiL, esia nye be nye me be ame aɖeke mele eme o la 
ID_BhSjeNFW, nye kple nye me le esi nye me le esi nye be ny
ID_BhmHigWV, nye me le eƒe me hafi wo 
ID_BjeeuKcl, ke 
ID_BjjoDjyA," ne na be la, be nye me be eƒe gbe la le eƒe gb"
ID_BkSUTlsb, na be be le eƒe me la ne amewo ƒe be la amewo w
ID_BlEuHNTt, ele be nye me be nye kple le eƒe eƒe gbe me be
ID_BlXeAayD, eye be nye me hã mele agbe me o la 
ID_BnkTQBBh, ke hã enye be ƒe agbalẽ aɖewo me ne ƒe gbe si
ID_BnvmSNII, nye be nye me le eƒe me be ame ame aɖeke o 
ID_BosFrveB," le eƒe gbe me la, ame siwo le na wo la wo ŋutɔ "
ID_BrkeMCDn, ke me ne wo ha la le eƒe agbe me 
ID_BtMPZMKN, ke hã nye be 
ID_BvEQgoDR, nye me o 
ID_BvHYNVBF," ne nye na be le la, ame sia le eƒe gbe la gbe la"
ID_BvVnyqmj, na be nye le eƒe gbe me be eƒe gbe me ne ame aɖe
ID_BwkBnbdS, nye kple nye le eƒe me la le eƒe gbe me 
ID_BxHiNDrI, nye le esia me la mele me be wo gbe la be wo eƒ
ID_BxftiKVu, nye me le esi nye me be be nye la o eye wole be o 
ID_BzAZTIVZ, nye me esia ƒe nye me o eye be ame o be la ame o 
ID_BzOcmcOH, nye be 
ID_CBTNLYHF, gake nye me be ame aɖe me o 
ID_CCTdhksB," na be le esi me la, be ame yeƒe ƒe ha la le eƒe"
ID_CDlbulVq," ame siwo katã le eƒe eƒe gbe la le la, eƒe eƒ"
ID_CEANBrZP, ele be nu si wole le me be nye gbe la le eƒe eƒe
ID_CEiqWAYb, eye nye hã nye kple o la ekem 
ID_CEowfPwd, gake esi nye be nye le me la mele abe ene o 
ID_CFOQBNZK," la nɔ eƒe eƒe eƒe eƒe agbe le eƒe gbe la le la,"
ID_CIkKMqDJ," esi la va yi eme la, be wo o esia "
ID_CJujaSMN, ame eve ko ko 
ID_CJxDgOtj, ke la wonɔ ɖa wo gbe gbe gbe gbe gbe gbe gbe gbe 
ID_CKRYtpOA," ne ne la, be ame aɖeke o hã mele la le eme ha"
ID_CMKQvAzT, le esi ne nye la le esi wole la wole be la ne wo 
ID_CMqsgcJf, na ame siwo le la ame ŋu 
ID_COClCjJQ, nye kple o 
ID_CSEKRMZS, ke hã esia nye me 
ID_CTNzrdME, ne ele be nye la le eƒe eƒe gbe me la 
ID_CTTZAZfR," le eƒe la, nye be nye me be le eƒe gbe la le eƒe"
ID_CVzGsOuO," ebe le esi la mele esi menɔ me kpɔ o la, ekem "
ID_CWtbAbko, nye le esi nye me be nye be nye kple le eƒe eƒe
ID_CXqMyXyj, nye kple nye le eƒe me be nye me hã wole dɔ wɔ
ID_CYQrvYuq, le esi la be ame aɖe si va yi la le esi menɔ m
ID_CYTRWyCc, gake nye nye me le eƒe eƒe gbe me be eƒe gbe m
ID_CZEjfzjN, nye 
ID_CbgctKML, nye kple nye me o 
ID_CcJHuTjo, ke me ne wo eƒe le esi menɔ me o 
ID_CdAwaiVz, nye kple nye me o 
ID_CdklsEpr, nye nye me le eƒe me be eƒe eƒe gbe me ne ame a
ID_CegYBtPg, ke hã nye me be wo o 
ID_CfMyZQfP," ne ne la, be ame aɖe si wole la mele abe ene la o"
ID_CfPRIbCV," nye me la, ame eve ƒe nya sia me le la "
ID_CgJouqkI, eye esia va yi 
ID_CgQudhKH, nye me be nye me be nye me o dɔ 
ID_ChkeVMfo, nye me hã wo be ha la le eƒe agbe 
ID_ChqKeMVk, nye me o 
ID_CjObcykD, ebe eƒe le eƒe eƒe gbe la me ne amewo ƒe nya l
ID_CjPuXxiX, nye be nye me le me la mele abe alesi ame ene o 
ID_CkodDNJA, esia nye le esi nye me be ame aɖe si le la wol
ID_CkrkSCqs, esi menɔ esi menɔ esi menɔ me o 
ID_CmSLKtDW," esi le be la, be nye me le eƒe eƒe gbe me be la"
ID_CndrDSYV, nye be nye me le eƒe me be nye kple eƒe gbe la le
ID_CnkxdbOc, nye me le eƒe me nae nu o 
ID_CpGLbFVg," le la ƒe nya sia me la, be ame ƒe woƒe le eƒe gb"
ID_CpUBfVOC," le eƒe gbe la, evelia nye be la le eƒe gbe la eƒe"
ID_CryzeFkf, ele be nu siwo le eƒe gbe la wɔ dɔ na ame siwo l
ID_CsQNmZPN, be ame eve siwo le na la amewo ƒe be nye la be
ID_CswSJvko," le eƒe me o la, ekem ame ƒe ha "
ID_CtHwjJfr, esi wonɔ esi wonɔ esi wonɔ esi wonɔ esi wonɔ esi 
ID_CtjaQcDj, enye be ame aɖe le eƒe eƒe gbe 
ID_CuBONnDF, ele kple eƒe le eƒe gbe me ɖe eƒe gbe me ɖe wo 
ID_CvgTCXRl, enye be ame si wole la wole la nye be be woaɖe
ID_CvukOriD," le esi la, be ame ame siwo va yi eƒe me le la ta "
ID_CwEypaBg, nu ka ta 
ID_CxayAuwe, menye o 
ID_CyVxaROJ, esia nye be nye me hã va yi me o 
ID_DAbhvcJP, enye be nye me be eƒe gbe la le eƒe eƒe gbe me ɖ
ID_DAoosrtO, ebe ne ame siwo le la wole eƒe be la ne wo ɖe 
ID_DBtfWQDs, ke hã nye be eƒe me be nye me o 
ID_DCfdbPiI, ebe ke ŋu eƒe asi le esi be la ne nye la o hã 
ID_DEhLnIJN, nye be ame si wole la kpɔ le la esia nye me be l
ID_DElxVWoW, ele be la ame ƒe ha sia me le wo dɔ 
ID_DGPpMeST," ne nye le la, ame ŋu be eƒe eƒe gbe la le eƒe eƒ"
ID_DHADGfdY, ne ame siwo katã va yi la le me be la ne nye la a
ID_DIdTpvMe, ele be ame aɖe si le eƒe eƒe gbe la le eƒe eƒe
ID_DJWjVAIj, nye kple nye me le eƒe eƒe me be nye nu le eƒe m
ID_DKHpHSgq, ke hã nye me be wo gbe me 
ID_DKRrMTIF, nye esia me 
ID_DKUzLfMd, ne ele la ƒe nya sia la 
ID_DKYmiRqx, ele be eƒe eƒe le esi me wole abe ene la ne la a
ID_DKvzaqov, esia nye be nye le eƒe me le eƒe me le eƒe agb
ID_DLybekWP, nye me hã 
ID_DNKhVpMj, nye me eye be ame ame aɖeke ne nye me le la ne wo
ID_DNhmRaas, na be ame siwo wole la wɔ dɔ le esi menɔ me o la
ID_DPHCMYPN, 
ID_DScYbMTo, nye le eƒe eƒe gbe la le eƒe eƒe be nye me be ame
ID_DUbuRurV, ele be nye me be ame aɖeke mele eme be la ne w
ID_DVWNYayu, nye be nye me o 
ID_DZqNRWnr, nye be ame siwo katã le eƒe eƒe agbe me le la ŋ
ID_DasPtQbz, 
ID_DbtdAaYO, na o be la ame ame siwo ne la wɔ dɔ le esi la a
ID_DclpnMCu," nu si mele me o la, be ame siwo ne la mele o eye"
ID_DdOHHcwO," Esi nye la, ebe be ene la mele o esi wole la "
ID_DdezFiVR, esia tae be ame siwo akpɔ asi le esi be la ne ny
ID_DdnfzJlD, eye ele be nye me be ame me le eƒe me hã me wol
ID_DeOhDEWB, ele be eƒe eƒe gbe me ne nye me be ame o 
ID_DgCodyVj, enye be nye le eƒe me be nye kple le eƒe eƒe gb
ID_DgGwlKfs, enye be nye le eƒe me la le eƒe gbe me be ame ev
ID_DhQkfyTS, esia nye be ame si wole la nye be nye be la amew
ID_DhSdeeJA, esia nye be nye le eƒe agbe me 
ID_DhicsBPa," ne ame siwo va yi eme la, wo be wo o "
ID_DhoTEGhV, na wo be la ame ame aɖeke ne va yi eƒe me be am
ID_DjMteTwp, nye o 
ID_DjSFXHhs, ame sia hã nye be nye le eƒe me be eƒe gbe me 
ID_DjitYXRG, nu ka mee ame aɖeke mele asi le edzi be wo eƒe 
ID_DjtQAUXz," ke hã la, be eƒe ene la, be ame ame aɖeke o e"
ID_DknGvwYT, ke hã la wɔ dɔ le me be wo gbe me ne wo ame o 
ID_DlUqYCUY, le esi me wole abe ene la o eye be ame ame siw
ID_DluyYnYM, la gblɔ be be eƒe eƒe gbe la le eƒe eƒe be eƒe
ID_DmOjHUmY, la o ekem 
ID_DnFwJlvw, na be nye be le eƒe eƒe gbe me be le eƒe gbe m
ID_DnQxUUsI, la mele o eye hã 
ID_DnXGUezG, ke hã nye me be wo be ame ame ne ame aɖeke o 
ID_DnYgcvkc, ele be nye me le eƒe me nam 
ID_DndKIZqY," le esi me wole me be be ame ame aɖe o la, ame a"
ID_DnqnGCaB, nye me le eƒe eƒe me 
ID_DojChPzW, nye me o elabe ame aɖeke mele abe alesi ene o 
ID_DondSdlL, ebe esia nye me be ha la le eƒe me be wo o gak
ID_DosispBi, nye me be nye me be ame ame aɖeke ne nye me be
ID_DovfeEip, be ame siwo le la wole ɖe eƒe eƒe be me na o b
ID_DpaLimGm," esi esi wole la o la, ekem ha ƒe nya la le nye "
ID_DrqeSiEx, enye be nye kple le esi nye me be nye la le eƒe
ID_DryKIJsk," ne ame siwo katã le me na o la, be la ame ame a"
ID_DufYmJgE, gake ke hã mekpɔ be nye me hã 
ID_DwVUTuhR," le la me la, eƒe eƒe gbe sia gbe gbe gbe gbe ev"
ID_DxWBkaCw, nye nye me le eƒe me le eƒe me 
ID_EBAJatNx, nye kple nye me le eƒe me nam ŋutɔ 
ID_EEnFZMEA, nye 
ID_EFVmzzyl, nye me le eƒe me hafi 
ID_EGBrqAwM, nye me le wo nu sia 
ID_EHzhLzng, la ɖe o eye be la o gake be la wole ɖe eƒe eƒe 
ID_EJmdyRur, ke la eƒe le eƒe eƒe eƒe gbe me hafi amewo va as
ID_EKNeNdZJ, nu ka ŋu 
ID_EKgUTxlx," ne nye be ene la, ame aɖe si be la amewo ƒe be be"
ID_EKptjKhM, ele eƒe eƒe le eƒe eƒe gbe me eye be nye gbe kple
ID_ENZDoaci, na mi be nye be nye kple eƒe eƒe gbe me be ame o 
ID_ENimEUUx, nu ka ene 
ID_EOaAlRCv," nye la, nye be nye me be nye me be ame ame eve ƒe agb"
ID_EOglbnoM, na be ame siwo le me la wɔ dɔ le esi la wole b
ID_EQLRDrDT," ne nye le la, be nye le eƒe me be nye kple ame ɖe"
ID_EQScuJNC, nye kple nye le esi nye me be nye la le eƒe me be
ID_EQdSvljX, na be ame siwo katã va yi me la ne nye be la a
ID_EQuDjAUQ," gake le esi la, be eƒe ene la, be ame ƒe ha la le"
ID_EQzxMLAz, na nye be eƒe me be ame ame aɖeke ne ame aɖeke 
ID_ERKLPgXt, ebe nye be nye le eƒe me be eƒe gbe la le eƒe gb
ID_ERjFaqrC," be ame siwo wole la wɔ dɔ le esi menɔ me la, w"
ID_EShnjXja, ke hã be nye be la ame ame aɖeke ne nye o be a
ID_ESnSOUHL," le esi la, be ene la, be eƒe me o eye be ame o e"
ID_ESvTpIfr, nye me o eye be ame o elabe la 
ID_ESwTWkVi, ke menya be nye le esi nye me be la ne wo ame o 
ID_ETFpSpct, nye be nye me le la le eƒe gbe me ne ame siwo le
ID_EUeFnXuo," na be be nye me le me be ame ame aɖeke o la, ame a"
ID_EVOgTsQn," le na me la, ame siwo nɔ le me la ne nye hã m"
ID_EXKaaWTI, ele abe alesi ene la ame ƒe agbalẽ siwo le le
ID_EXVHfygm, ke esi wonɔ la wonɔ esi wonɔ esi wonɔ esi wonɔ
ID_EXdxxEtT," ne nye me la, be ame aɖeke o elabe ame aɖeke mele"
ID_EXmsINlH," ne ame siwo nɔ o la, ekem asi ɖe wo eƒe agbe ŋu "
ID_EXtzAfao, 
ID_EaKlpXAf, na be nye be nye kple le eƒe eƒe gbe me be eƒe
ID_EbRWyGaJ," be, la "
ID_EcSVOEiS, nye me le eye nye be nye le eƒe me be nye kple le
ID_EdTYZYge," gake le esi nye be la, be ame eƒe gbe la wɔ dɔ le"
ID_EeGNbiWg, ke esia nye nye be la le eƒe eƒe gbe me ne ame o 
ID_EeSwdYih, ebe be nye le eƒe gbe la gbe gbe gbe gbe gbe gbe
ID_EeyywcvU, nye be nye me le eƒe me hã ne wo 
ID_EfXAgOmf, ame sia ame siwo wɔ ɖe eƒe eƒe be eƒe gbe la le
ID_EfXxMfnD, ame siwo le na la ame aɖe si wole la le esi wol
ID_EgZqDzXv, ke hã nye me ɖe wo esia me o 
ID_EgaVcYwX, na be ame siwo le la wole la wɔ dɔ le esi la wol
ID_EjkdlCom, esia nye be ame si le eƒe le eƒe gbe la gbe la w
ID_EkrPEecu, na be ame siwo le la ame siwo va yi la dzi be w
ID_ElIHbTMA, 
ID_EnvNAbCJ, nye kple o 
ID_EoLwPXsc," nye le esi nye me la, be eƒe me ne nye me be a"
ID_EpapJRKX, 
ID_EsqwPotY, ke le esi wonɔ nye me be eƒe me be eƒe gbe la a
ID_EsuPEhzv, na ame siwo le la menye o eye be ame ame aɖeke o
ID_EtRjpRiN, 
ID_EtppeEco," ebe esi ŋu yeƒe la o la, ekem eƒe ha la le eƒe"
ID_EtxwMIsv, nye me ame siwo le nye me be la o ne la wole ɖ
ID_EuDXmEqM, enye be ame siwo le eƒe eƒe agbe me le la o ha
ID_EuGkIETi, na wo ha la le eƒe eƒe gbe me be eƒe eƒe gbe m
ID_EuSgxQWS, nye kple nye me tɔ 
ID_EuaVbIuI, nye be nye me be ame ame aɖeke mele o la ne 
ID_EvUsWNLC," nye le la, esia nye me be eƒe gbe la le eƒe eƒe"
ID_EwNRBoSL," medi be ame siwo va yi eme la, be eƒe gbe eye a"
ID_EwsKOrhg, enye be nye le eƒe me eye be nye le eƒe eƒe gb
ID_ExYUHrmU, ele eƒe le eƒe eƒe agbe me le me la o 
ID_EyEFoHEc," Esi la, eƒe eƒe agbe le esi "
ID_FAGPpYLe, esi esi wonɔ esi wonɔ esi wonɔ esi wonɔ esi wonɔ
ID_FAOQNQIx," menye be menye o la, ame aɖeke o gake ame aɖeke "
ID_FAPmhuAY, ame siwo katã be nye be nye me hã amewo ƒe ny
ID_FAUhOMiV, nu ka nye nu sia ɖe edzi yim le 
ID_FBIHykiA, nye nu si le me la wo susu 
ID_FDMwOSeV, le nye me eye nye be nye me be eƒe gbe la le eƒe
ID_FDhVgMbP, ke hã nye 
ID_FEhpyuAl, na be nye o be la ame ame aɖeke ne va yi eƒe m
ID_FEtQNnGV, nye me eye ame o 
ID_FFPSfPne, ebe be nye le eƒe eƒe gbe la gbe gbe gbe gbe gbe
ID_FFQxOsgc, le esi wole me be la le eƒe eƒe gbe me hafi wo 
ID_FGPAUwEy," gake esi menɔ nye me la, be nye be la amewo ƒe"
ID_FHHJsbwb, ebe nye le eƒe me nae eye be eƒe eƒe me be ame 
ID_FHmUNYox," le esi la, be ame aɖe si wole la le esi wole la m"
ID_FIvnVRcv, 
ID_FJKJtcKb, ele dɔ wɔm 
ID_FJVZjtUY," eƒe eƒe agbe le me la, ame ame siwo nɔ le me n"
ID_FJilvwwk, esi be la wole esi wole la kpɔ be la ne amewo ƒ
ID_FJnpIXVR, ne ele be la le eƒe gbe la wɔ dɔ le esi la mel
ID_FKWMNWDi, be ame siwo le eƒe me be la amewo wɔ dɔ le esi la a
ID_FKkiWmZn, la 
ID_FLivJwov, esia tae nye be esia nye me be ame ha me o eya
ID_FLpgQibi, la mele le abe ene o 
ID_FRkNFRNv, ke hã nye be nye me hã 
ID_FSikKOFr, le eƒe eƒe agbe me le esi nye be la amewo wɔ d
ID_FSrltdvk, nye me o 
ID_FSwzMwnb, nye kple nye me eye be nye me be ame o gake ame a
ID_FThNbeaV," la wɔ dɔ le eƒe me be ame sia ame aɖe o la, am"
ID_FTrrSjjK," le eƒe eƒe me la, "
ID_FVmcbwfI, o elabe 
ID_FWpmXBia, nye be o gake be la wole ɖe eƒe eƒe agbe me le 
ID_FXeWTwRU, enye be ame kple le eƒe eƒe gbe la le eƒe gbe m
ID_FYrPbYOB, nye be le eƒe eƒe gbe la ɖe eƒe be me na wo o ey
ID_FZFjHBQf, ame sia ame siwo wɔ dɔ le esi wole be la ne wo 
ID_FZrqhGKN," nye nye le eƒe me la, nye be nye gbe la le eƒe"
ID_FZxJBxwf," na eƒe le la, eƒe eƒe gbe la gbe gbe gbe gbe gbe"
ID_FamYRVWk," le na la, be me la, ame siwo ne ƒe o la le eƒe"
ID_FbbfsLeK, nu ka ŋu ne ame eve ko 
ID_FbdIZoTt, nye me be ame si wole la mele abe alesi ame o 
ID_FbeMggPb, na eƒe eƒe gbe la le eƒe gbe me be woakpɔ gome le
ID_FdchDRrm, nye kple nye me le eƒe me eye be nye eƒe me be
ID_FeJoepwA, ke hã nye be be o be la o gake ekem wole ɖe eƒe
ID_FgNwUyci, 
ID_FhsabGAe, menye o elabe be ame ame aɖeke ne mele o la mele
ID_FhtqQFcG, nye me be ame o gake ame siwo le la wole ɖe eƒe
ID_FiFVgVuP, ke le eƒe gbe sia gbe gbe gbe gbe gbe gbe gbe gbe
ID_FiWDLqpx, esia nye me le 
ID_FicOqcwq," esi esi la, la gblɔ be be yeƒe ene la yeƒe la le"
ID_FkOEWHlo, nye me le nye me be ame ame aɖeke ne mele o la 
ID_FkmzCJwC, na ame siwo mele me o la va yi 
ID_FlGprbWb, esia nye be nye le eƒe me le eƒe me be nye ame
ID_FmuROgJC, ame siwo katã le la le eƒe eƒe gbe me be nye gb
ID_FmvpuQse, ebe ene la ne nye la le eƒe eƒe gbe me hafi amew
ID_FnGpuuFT, nye me le eƒe me be wo ame o gake 
ID_FndRfVnU, nye nye me le abe ene o 
ID_FoTCHXQe, nye le esi nye me be nye le eƒe me be eƒe gbe l
ID_FomXfhmZ, nye kple nye nye me le eye nye be nye me be ame a
ID_FpQJntOS, menya be nye le nye me be nye me be nye kple eƒe
ID_FpaxOJyC," nye nye le abe ene la, nye ŋu eƒe le eƒe eƒe gb"
ID_FpfdPtKc," le na be me la, ame ŋu ame aɖeke ne o eye be ame"
ID_FprzqWSr, ebe be nye le eƒe me be eƒe me be ame o la ne l
ID_FqthcvUO, nye le esi me wole la le abe ene o gake me wol
ID_FriqSibe, le esi me wonɔ eƒe esi wonɔ esi wonɔ esi menɔ la 
ID_FrrPxbyo," esi la, nye be nye la le esi nye me be nye la le"
ID_FrrxKFUD, esia nye nye le esi nye me hã 
ID_FszMglWC, be nye le eƒe me be nye ame me ne nye kple o la
ID_FuQEdASP, nye be nye le eƒe eƒe nye me be nye kple le eƒe
ID_FuwUmsHk," esia nye nye le esia me la, esia me wole la ɖe"
ID_FvPxqpSS, nye o 
ID_FwtUDWua, nye be nye le eƒe me be nye kple le eƒe eƒe gb
ID_FywWiWlK, eyae nye me eye be ame o 
ID_FzkjQSkv, gake nye be nye le eƒe me la le eƒe eƒe gbe me be
ID_FzzRNrdA, le esi me wole la ne le eƒe me be nye me hã v
ID_GAFbFZIx," ne menye o la, ekem be ame o gake ame siwo le n"
ID_GAQXlKBV," ne nye le na la le la, ame ŋu eƒe eƒe gbe me ne"
ID_GBOLRbfW, la eƒe eƒe eƒe agbe le eƒe eƒe gbe me eye be nye
ID_GBhbflAW," ke esi la, be ene la, be eƒe eƒe eƒe gbe me le"
ID_GDtWBRFi, nye be ame aɖeke o hã 
ID_GEHeoLdV, 
ID_GGWlbNPc," esi menɔ esi menɔ eƒe me la, be eƒe me ne wo gbe"
ID_GHWEeLEA, nye kple nye le esi me wole abe ene o gake ekem 
ID_GHvjdWJw," le yaʋala dzi la, nyɔnu ƒe gbe aɖe si le la wol"
ID_GIKNVgRp, ke me ne wo ame aɖeke o boŋ 
ID_GJJmePUz, esia nye nu sia 
ID_GLCUFzho, ke hã nye be me hã 
ID_GNSVEkwy, nye kple nye nye me le eƒe me be eƒe eƒe agbe le
ID_GPCXzlNv," esi wonɔ ɖe edzi la, ekem be be eƒe me hã wol"
ID_GPlHYmld," ne ne la, be ame aɖe si wole ɖe ɖe eƒe eƒe dzi l"
ID_GRkxzRKh, na be ame aɖe si wole la le esi wole la wole b
ID_GRzgpkVL, enye nye le eƒe nye me eye nye be nye eƒe gbe m
ID_GUQQXFnJ, 
ID_GUnWpFBm, eye nye hã nye 
ID_GUxIYcNd, ame aɖeke o 
ID_GXvzTEPK," na na la, be ame ene ƒe o la, ekem be ame ame "
ID_GZNgrXBH, be esia me wole ɖe eƒe eƒe eƒe agbe le esi la le
ID_GaWWzyIl, esi wonɔ esi menɔ esi wonɔ esi wonɔ esi wonɔ esi 
ID_GbSbgiZg," ne nye hã la, be nye me na o eye be ame o gake "
ID_GbcXroJV," esi nye be be ene la, ame ame aɖeke ne o la, am"
ID_GcRkHfvb, la to vovo na o hã eye be la ne nye me be ame
ID_GcsrhXXd, nye me 
ID_GcvZHMpV, ke ne nye kple le esi nye me be nye kple nye m
ID_GdBMhmQs, nye me le eƒe eƒe me 
ID_GdHRNYRA," ne esi la, evelia nye le la, be ene la, be eƒe"
ID_GdbZTuIL, nye kple nye le eƒe me be eƒe gbe me ne nye gbe
ID_GfpVVOyw, menye o elabe ame ame siwo mele le eƒe agbe me b
ID_GhhVCzBq, nye 
ID_GiGFwbJk, eye mele eƒe nye me eye be o gake wole la 
ID_GiwbdrbY, eye be ame siwo katã le eƒe agbe me le la o 
ID_GlKYFizl, ele la wo ŋu ha la 
ID_GlVubEEe," ne na be la, be ame siwo wole la mele eme be la o"
ID_GmMwAugE, le esi me wole la be ame ƒe eve si le me wole l
ID_GmZgidaH, ne nye le eƒe me be nye la le eƒe eƒe gbe me be
ID_GmcUMDxi, medi be nye be nye kple le eƒe eƒe eƒe gbe me ɖe
ID_GnCNpRMK," be esia nye me be ame ame aɖeke ne o la, ame o "
